herb_id,herb_name_sinhala,herb_name_english,herb_name_latin,family,synonyms,treatment_for,parts_used_in_treatment,description,dosage,contraindications,compounds,native_distribution,conservation_status,edible_parts,medical_properties,source,source_type
SLH-0011,Polpala,Mountain knotgrass,Aerva lanata,Amaranthaceae,Polpala kola; mountain knotgrass,urinary stones; urinary tract infections; kidney health,fruits; roots; stem,"Mountain knotgrass (Aerva lanata), known in Sinhala as Polpala, is a medicinal plant of the family Amaranthaceae recorded in Sri Lankan traditional medicine. It is traditionally used for urinary stones, urinary tract infections, kidney health. The fruits are the most commonly used part, usually prepared as a powder. Reported properties include hypotensive, immunomodulatory activity.","Dried fruits powder: 1-2 g with warm water, once daily. ",Avoid with anticoagulant medication,phenolic acids; tannins; oleanolic acid; beta-sitosterol,Home gardens island-wide,Near Threatened,none recorded,hypotensive; immunomodulatory,Community Ayurveda Practitioner Interviews ,expert_interview
SLH-0012,Ranawara,Tanner's cassia,Senna auriculata,Fabaceae,,diabetes; urinary disorders; skin diseases,seeds,"Tanner's cassia (Senna auriculata), known in Sinhala as Ranawara, is a medicinal plant of the family Fabaceae recorded in Sri Lankan traditional medicine. It is traditionally used for diabetes, urinary disorders, skin diseases. The seeds are the most commonly used part, usually prepared as a porridge (kola kanda). Reported properties include antidiabetic, expectorant activity.","Herbal porridge (kola kanda) prepared with fresh seeds, consumed as breakfast 2-3 times weekly. ",Use with caution in chronic kidney disease; May cause gastric irritation in high doses,phenolic acids; flavonoids; gallic acid; stigmasterol,Sinharaja periphery,Data Deficient,seeds (after processing),antidiabetic; expectorant; antioxidant,Ethnobotanical Research Archive ,research_paper
SLH-0013,Karapincha,Curry leaf,Murraya koenigii,Rutaceae,,digestive disorders; diabetes; hair care,stem,"Curry leaf (Murraya koenigii), known in Sinhala as Karapincha, is a medicinal plant of the family Rutaceae recorded in Sri Lankan traditional medicine. It is traditionally used for digestive disorders, diabetes, hair care. The stem are the most commonly used part, usually prepared as a paste. Reported properties include antioxidant, antitussive activity.",External use only: apply paste of stem to the affected area 1-2 times daily. ,Avoid with anticoagulant medication; Not recommended for children under 5 years; May cause allergic skin reaction in sensitive individuals,anthraquinones; glycosides; quercetin,Intermediate zone,Least Concern,none recorded,antioxidant; antitussive,Sri Lanka Herbal Knowledge Survey Records ,field_survey
SLH-0014,Kothala Himbutu,Salacia,Salacia reticulata,Celastraceae,,diabetes; obesity; joint pain,roots; latex; stem,"Salacia (Salacia reticulata), known in Sinhala as Kothala Himbutu, is a medicinal plant of the family Celastraceae recorded in Sri Lankan traditional medicine. It is traditionally used for diabetes, obesity, joint pain. The roots are the most commonly used part, usually prepared as a capsule. Reported properties include antitussive, hepatoprotective activity.",Standardised extract capsule: 500 mg once daily. ,Not recommended for children under 5 years; Use with caution in liver disease; Use with caution in chronic kidney disease,essential oils; alkaloids; luteolin; apigenin,Knuckles range,Vulnerable,seeds (after processing),antitussive; hepatoprotective,Sri Lanka Herbal Knowledge Survey Records ,field_survey
SLH-0015,Thebu,Crepe ginger,Costus speciosus,Costaceae,Thebu kola; crepe ginger,diabetes; fever; urinary disorders,fruits; roots,"Crepe ginger (Costus speciosus), known in Sinhala as Thebu, is a medicinal plant of the family Costaceae recorded in Sri Lankan traditional medicine. It is traditionally used for diabetes, fever, urinary disorders. The fruits are the most commonly used part, usually prepared as a decoction. Reported properties include galactagogue, antitussive activity.","Decoction of fruits: 60 ml, once daily after meals. ",May interact with antihypertensive medication,coumarins; saponins; rutin; ellagic acid,Knuckles range,Vulnerable,fruits,galactagogue; antitussive; antifungal,Indigenous Medicine Field Notes Vol. II ,traditional_text
SLH-0016,Karawila,Bitter gourd,Momordica charantia,Cucurbitaceae,Karawila kola; bitter gourd,diabetes; skin diseases; intestinal worms,roots; bark; flowers,"Bitter gourd (Momordica charantia), known in Sinhala as Karawila, is a medicinal plant of the family Cucurbitaceae recorded in Sri Lankan traditional medicine. It is traditionally used for diabetes, skin diseases, intestinal worms. The roots are the most commonly used part, usually prepared as a herbal tea. Reported properties include hypotensive, antipyretic activity.","Herbal tea: steep 2 tsp of dried roots in hot water, drink once daily. ",Use with caution in chronic kidney disease; Not recommended for children under 5 years; Avoid with anticoagulant medication,terpenoids; essential oils; saponins; beta-sitosterol; luteolin,Wet zone lowlands,Common (cultivated),none recorded,hypotensive; antipyretic,Indigenous Medicine Field Notes Vol. II ,traditional_text
SLH-0017,Pawatta,Malabar nut,Justicia adhatoda,Acanthaceae,,cough; asthma; bronchitis,latex,"Malabar nut (Justicia adhatoda), known in Sinhala as Pawatta, is a medicinal plant of the family Acanthaceae recorded in Sri Lankan traditional medicine. It is traditionally used for cough, asthma, bronchitis. The latex are the most commonly used part, usually prepared as a paste. Reported properties include immunomodulatory, hypotensive activity.",External use only: apply paste of latex to the affected area 1-2 times daily. ,May enhance the effect of antidiabetic medication; monitor blood sugar; Not recommended for children under 5 years; Avoid during pregnancy unless advised by a qualified practitioner,coumarins; flavonoids; alkaloids; chlorogenic acid,Wet zone lowlands,Vulnerable,leaves (as mallum),immunomodulatory; hypotensive,Indigenous Medicine Field Notes Vol. II ,traditional_text
SLH-0018,Heen Bovitiya,Osbeckia,Osbeckia octandra,Melastomataceae,,liver disorders; jaundice; gastritis,tender shoots; leaves,"Osbeckia (Osbeckia octandra), known in Sinhala as Heen Bovitiya, is a medicinal plant of the family Melastomataceae recorded in Sri Lankan traditional medicine. It is traditionally used for liver disorders, jaundice, gastritis. The tender shoots are the most commonly used part, usually prepared as a oil preparation. Reported properties include demulcent, hepatoprotective activity.",Oil preparation of tender shoots for external application. ,May interact with antihypertensive medication,glycosides; iridoids; apigenin; catechin,Wet zone lowlands,Least Concern,none recorded,demulcent; hepatoprotective,Sri Lanka Herbal Knowledge Survey Records ,field_survey
SLH-0019,Bovitiya,Malabar melastome,Melastoma malabathricum,Melastomataceae,Bovitiya kola; malabar melastome,diarrhoea; wound healing; gastritis,fruits; seeds; latex,"Malabar melastome (Melastoma malabathricum), known in Sinhala as Bovitiya, is a medicinal plant of the family Melastomataceae recorded in Sri Lankan traditional medicine. It is traditionally used for diarrhoea, wound healing, gastritis. The fruits are the most commonly used part, usually prepared as a powder. Reported properties include analgesic, antifungal activity.","Dried fruits powder: 2-3 g with warm water, twice daily. ",Use with caution in liver disease; Use with caution in chronic kidney disease,lignans; sterols; beta-sitosterol,Dry zone,Vulnerable,young leaves,analgesic; antifungal; expectorant,Sri Lanka Herbal Knowledge Survey Records ,field_survey
SLH-0020,Neeramulliya,Marsh barbel,Hygrophila auriculata,Acanthaceae,,urinary disorders; joint pain; general debility,latex; rhizome,"Marsh barbel (Hygrophila auriculata), known in Sinhala as Neeramulliya, is a medicinal plant of the family Acanthaceae recorded in Sri Lankan traditional medicine. It is traditionally used for urinary disorders, joint pain, general debility. The latex are the most commonly used part, usually prepared as a capsule. Reported properties include hypotensive, laxative activity.",Standardised extract capsule: 250 mg twice daily. ,May cause gastric irritation in high doses; Use with caution in liver disease; May cause allergic skin reaction in sensitive individuals,tannins; essential oils; terpenoids; kaempferol,Wet zone lowlands,Common (cultivated),leaves (as mallum),hypotensive; laxative; anti-inflammatory; antifungal,Medicinal Plants Reference Database ,database
SLH-0021,Welpenela,Balloon vine,Cardiospermum halicacabum,Sapindaceae,Welpenela kola; balloon vine,joint pain; arthritis; earache,rhizome,"Balloon vine (Cardiospermum halicacabum), known in Sinhala as Welpenela, is a medicinal plant of the family Sapindaceae recorded in Sri Lankan traditional medicine. It is traditionally used for joint pain, arthritis, earache. The rhizome are the most commonly used part, usually prepared as a cold infusion. Reported properties include demulcent, antidiabetic activity.",Cold infusion of rhizome soaked overnight: 100 ml in the morning. ,Avoid immediately before surgery,polysaccharides; glycosides; luteolin; vanillic acid,Sinharaja periphery,Vulnerable,leaves (as mallum),demulcent; antidiabetic; astringent; antispasmodic,Indigenous Medicine Field Notes Vol. II ,traditional_text
SLH-0022,Hathawariya,Shatavari,Asparagus racemosus,Asparagaceae,Hathawariya kola; shatavari,general debility; lactation support; gastritis,bark; stem; seeds,"Shatavari (Asparagus racemosus), known in Sinhala as Hathawariya, is a medicinal plant of the family Asparagaceae recorded in Sri Lankan traditional medicine. It is traditionally used for general debility, lactation support, gastritis. The bark are the most commonly used part, usually prepared as a capsule. Reported properties include analgesic, galactagogue activity.",Standardised extract capsule: 500 mg once daily. ,Prolonged high-dose use may cause loose stools; May cause allergic skin reaction in sensitive individuals; Use with caution in liver disease,coumarins; flavonoids; terpenoids; beta-sitosterol; lupeol,Knuckles range,Least Concern,tender shoots,analgesic; galactagogue; antitussive; carminative,Medicinal Plants Reference Database ,database
SLH-0023,Nika,Five-leaved chaste tree,Vitex negundo,Lamiaceae,,joint pain; inflammation; headache,rhizome; latex,"Five-leaved chaste tree (Vitex negundo), known in Sinhala as Nika, is a medicinal plant of the family Lamiaceae recorded in Sri Lankan traditional medicine. It is traditionally used for joint pain, inflammation, headache. The rhizome are the most commonly used part, usually prepared as a oil preparation. Reported properties include hepatoprotective, demulcent activity.",Oil preparation of rhizome for external application. ,May interact with antihypertensive medication,saponins; iridoids; lignans; quercetin,Sabaragamuwa region,Near Threatened,leaves (as mallum),hepatoprotective; demulcent,Medicinal Plants Reference Database ,database
SLH-0024,Suduhandun,White sandalwood,Santalum album,Santalaceae,Suduhandun kola; white sandalwood,skin diseases; burning sensation; fever,gum; seeds; whole plant,"White sandalwood (Santalum album), known in Sinhala as Suduhandun, is a medicinal plant of the family Santalaceae recorded in Sri Lankan traditional medicine. It is traditionally used for skin diseases, burning sensation, fever. The gum are the most commonly used part, usually prepared as a capsule. Reported properties include antipyretic, nervine tonic activity.",Standardised extract capsule: 250 mg twice daily. ,May interact with antihypertensive medication; May enhance the effect of antidiabetic medication; monitor blood sugar,iridoids; lignans; stigmasterol,Intermediate zone,Data Deficient,leaves (as mallum),antipyretic; nervine tonic,Ethnobotanical Research Archive ,research_paper
SLH-0025,Rathhandun,Red sanders,Pterocarpus santalinus,Fabaceae,,skin diseases; inflammation; eye disorders,rhizome; tender shoots; tubers,"Red sanders (Pterocarpus santalinus), known in Sinhala as Rathhandun, is a medicinal plant of the family Fabaceae recorded in Sri Lankan traditional medicine. It is traditionally used for skin diseases, inflammation, eye disorders. The rhizome are the most commonly used part, usually prepared as a oil preparation. Reported properties include galactagogue, anthelmintic activity.",Oil preparation of rhizome for external application. ,May cause allergic skin reaction in sensitive individuals,tannins; anthraquinones; sterols; gallic acid; stigmasterol,Central highlands,Vulnerable,none recorded,galactagogue; anthelmintic; antispasmodic,Indigenous Medicine Field Notes Vol. II ,traditional_text
SLH-0026,Kaluduru,Black cumin,Nigella sativa,Ranunculaceae,Kaluduru kola; black cumin,digestive disorders; asthma; immunity support,roots; gum,"Black cumin (Nigella sativa), known in Sinhala as Kaluduru, is a medicinal plant of the family Ranunculaceae recorded in Sri Lankan traditional medicine. It is traditionally used for digestive disorders, asthma, immunity support. The roots are the most commonly used part, usually prepared as a paste. Reported properties include diuretic, laxative activity.",External use only: apply paste of roots to the affected area 1-2 times daily. ,Avoid immediately before surgery; May enhance the effect of antidiabetic medication; monitor blood sugar,coumarins; alkaloids; tannins; beta-sitosterol,Northern dry zone,Data Deficient,young leaves,diuretic; laxative,Ethnobotanical Research Archive ,research_paper
SLH-0027,Suduru,Cumin,Cuminum cyminum,Apiaceae,Suduru kola; cumin,digestive disorders; flatulence; loss of appetite,leaves; stem,"Cumin (Cuminum cyminum), known in Sinhala as Suduru, is a medicinal plant of the family Apiaceae recorded in Sri Lankan traditional medicine. It is traditionally used for digestive disorders, flatulence, loss of appetite. The leaves are the most commonly used part, usually prepared as a capsule. Reported properties include antitussive, anti-inflammatory activity.",Standardised extract capsule: 500 mg once daily. ,Not recommended for children under 5 years; Avoid immediately before surgery,flavonoids; glycosides; terpenoids; vanillic acid; chlorogenic acid,Sabaragamuwa region,Common (cultivated),young leaves,antitussive; anti-inflammatory; expectorant,Community Ayurveda Practitioner Interviews ,expert_interview
SLH-0028,Inguru,Ginger,Zingiber officinale,Zingiberaceae,Inguru kola; ginger,nausea; cough; digestive disorders,latex; seeds; bark,"Ginger (Zingiber officinale), known in Sinhala as Inguru, is a medicinal plant of the family Zingiberaceae recorded in Sri Lankan traditional medicine. It is traditionally used for nausea, cough, digestive disorders. The latex are the most commonly used part, usually prepared as a porridge (kola kanda). Reported properties include galactagogue, hypotensive activity.","Herbal porridge (kola kanda) prepared with fresh latex, consumed as breakfast 2-3 times weekly. ",May cause gastric irritation in high doses; May enhance the effect of antidiabetic medication; monitor blood sugar; Avoid with anticoagulant medication,phenolic acids; essential oils; kaempferol,Uva region,Common (cultivated),none recorded,galactagogue; hypotensive,Sri Lanka Herbal Knowledge Survey Records ,field_survey
SLH-0029,Kaha,Turmeric,Curcuma longa,Zingiberaceae,,inflammation; wound healing; skin diseases,tender shoots; seeds,"Turmeric (Curcuma longa), known in Sinhala as Kaha, is a medicinal plant of the family Zingiberaceae recorded in Sri Lankan traditional medicine. It is traditionally used for inflammation, wound healing, skin diseases. The tender shoots are the most commonly used part, usually prepared as a paste. Reported properties include diuretic, antibacterial activity.",External use only: apply paste of tender shoots to the affected area 1-2 times daily. ,May cause allergic skin reaction in sensitive individuals,anthraquinones; coumarins; ellagic acid,Wet zone lowlands,Near Threatened,none recorded,diuretic; antibacterial; wound-healing,Traditional Ayurveda Compendium of Sri Lanka ,traditional_text
SLH-0030,Siyambala,Tamarind,Tamarindus indica,Fabaceae,,constipation; fever; digestive disorders,leaves,"Tamarind (Tamarindus indica), known in Sinhala as Siyambala, is a medicinal plant of the family Fabaceae recorded in Sri Lankan traditional medicine. It is traditionally used for constipation, fever, digestive disorders. The leaves are the most commonly used part, usually prepared as a fresh juice. Reported properties include antipyretic, wound-healing activity.",Fresh juice of leaves: 10-15 ml daily on an empty stomach. ,May enhance the effect of antidiabetic medication; monitor blood sugar; Prolonged high-dose use may cause loose stools,essential oils; saponins; catechin; gallic acid,Coastal areas,Least Concern,seeds (after processing),antipyretic; wound-healing,Community Ayurveda Practitioner Interviews ,expert_interview
SLH-0031,Kurundu,Ceylon cinnamon,Cinnamomum verum,Lauraceae,Kurundu kola; ceylon cinnamon,diabetes; digestive disorders; cold and flu,leaves; flowers; tubers,"Ceylon cinnamon (Cinnamomum verum), known in Sinhala as Kurundu, is a medicinal plant of the family Lauraceae recorded in Sri Lankan traditional medicine. It is traditionally used for diabetes, digestive disorders, cold and flu. The leaves are the most commonly used part, usually prepared as a capsule. Reported properties include antidiabetic, antibacterial activity.",Standardised extract capsule: 500 mg once daily. ,Use with caution while breastfeeding; Prolonged high-dose use may cause loose stools; Avoid during pregnancy unless advised by a qualified practitioner,alkaloids; anthraquinones; vanillic acid; luteolin,Sabaragamuwa region,Data Deficient,leaves (as mallum),antidiabetic; antibacterial; antitussive,Indigenous Medicine Field Notes Vol. II ,traditional_text
SLH-0032,Gammiris,Black pepper,Piper nigrum,Piperaceae,,cough; cold and flu; digestive disorders,seeds,"Black pepper (Piper nigrum), known in Sinhala as Gammiris, is a medicinal plant of the family Piperaceae recorded in Sri Lankan traditional medicine. It is traditionally used for cough, cold and flu, digestive disorders. The seeds are the most commonly used part, usually prepared as a oil preparation. Reported properties include immunomodulatory, antipyretic activity.",Oil preparation of seeds for external application. ,Prolonged high-dose use may cause loose stools; Use with caution in chronic kidney disease; Use with caution in liver disease,essential oils; iridoids; coumarins; oleanolic acid; lupeol,Uva region,Near Threatened,none recorded,immunomodulatory; antipyretic; antispasmodic; analgesic,Sri Lanka Herbal Knowledge Survey Records ,field_survey
SLH-0033,Thippili,Long pepper,Piper longum,Piperaceae,,cough; asthma; digestive disorders,tubers; tender shoots,"Long pepper (Piper longum), known in Sinhala as Thippili, is a medicinal plant of the family Piperaceae recorded in Sri Lankan traditional medicine. It is traditionally used for cough, asthma, digestive disorders. The tubers are the most commonly used part, usually prepared as a capsule. Reported properties include anti-inflammatory, wound-healing activity.",Standardised extract capsule: 250 mg once daily. ,Use with caution in chronic kidney disease; Prolonged high-dose use may cause loose stools,sterols; saponins; stigmasterol; gallic acid,Central highlands,Common (cultivated),fruits,anti-inflammatory; wound-healing; laxative,Ethnobotanical Research Archive ,research_paper
SLH-0034,Bulath,Betel,Piper betle,Piperaceae,Bulath kola; betel,wound healing; cough; oral health,rhizome; stem,"Betel (Piper betle), known in Sinhala as Bulath, is a medicinal plant of the family Piperaceae recorded in Sri Lankan traditional medicine. It is traditionally used for wound healing, cough, oral health. The rhizome are the most commonly used part, usually prepared as a porridge (kola kanda). Reported properties include wound-healing, immunomodulatory activity.","Herbal porridge (kola kanda) prepared with fresh rhizome, consumed as breakfast 2-3 times weekly. ",Prolonged high-dose use may cause loose stools; Use with caution in liver disease; Avoid with anticoagulant medication,saponins; phenolic acids; anthraquinones; gallic acid,Northern dry zone,Common (cultivated),leaves (as mallum),wound-healing; immunomodulatory; anti-inflammatory; antibacterial,Community Ayurveda Practitioner Interviews ,expert_interview
SLH-0035,Puwak,Areca palm,Areca catechu,Arecaceae,,intestinal worms; oral health; digestive disorders,gum; whole plant,"Areca palm (Areca catechu), known in Sinhala as Puwak, is a medicinal plant of the family Arecaceae recorded in Sri Lankan traditional medicine. It is traditionally used for intestinal worms, oral health, digestive disorders. The gum are the most commonly used part, usually prepared as a paste. Reported properties include diuretic, hepatoprotective activity.",External use only: apply paste of gum to the affected area 1-2 times daily. ,Avoid immediately before surgery,glycosides; alkaloids; beta-sitosterol,Northern dry zone,Vulnerable,fruits,diuretic; hepatoprotective; antifungal,Medicinal Plants Reference Database ,database
SLH-0036,Kithul,Fishtail palm,Caryota urens,Arecaceae,,general debility; digestive disorders; nutrition support,stem,"Fishtail palm (Caryota urens), known in Sinhala as Kithul, is a medicinal plant of the family Arecaceae recorded in Sri Lankan traditional medicine. It is traditionally used for general debility, digestive disorders, nutrition support. The stem are the most commonly used part, usually prepared as a paste. Reported properties include astringent, analgesic activity.",External use only: apply paste of stem to the affected area 1-2 times daily. ,Avoid during pregnancy unless advised by a qualified practitioner,flavonoids; anthraquinones; coumarins; gallic acid,Home gardens island-wide,Data Deficient,fruits,astringent; analgesic,Community Ayurveda Practitioner Interviews ,expert_interview
SLH-0037,Lunuwila,Water hyssop,Bacopa monnieri,Plantaginaceae,,memory improvement; anxiety; epilepsy support,leaves,"Water hyssop (Bacopa monnieri), known in Sinhala as Lunuwila, is a medicinal plant of the family Plantaginaceae recorded in Sri Lankan traditional medicine. It is traditionally used for memory improvement, anxiety, epilepsy support. The leaves are the most commonly used part, usually prepared as a paste. Reported properties include wound-healing, immunomodulatory activity.",External use only: apply paste of leaves to the affected area 1-2 times daily. ,May cause gastric irritation in high doses,flavonoids; terpenoids; kaempferol; vanillic acid,Intermediate zone,Least Concern,none recorded,wound-healing; immunomodulatory; laxative,Medicinal Plants Reference Database ,database
SLH-0038,Wadakaha,Sweet flag,Acorus calamus,Acoraceae,Wadakaha kola; sweet flag,speech development support; digestive disorders; cough,flowers; roots; stem,"Sweet flag (Acorus calamus), known in Sinhala as Wadakaha, is a medicinal plant of the family Acoraceae recorded in Sri Lankan traditional medicine. It is traditionally used for speech development support, digestive disorders, cough. The flowers are the most commonly used part, usually prepared as a herbal tea. Reported properties include antispasmodic, galactagogue activity.","Herbal tea: steep 1 tsp of dried flowers in hot water, drink once daily. ",Avoid during pregnancy unless advised by a qualified practitioner; Prolonged high-dose use may cause loose stools; Use with caution while breastfeeding,sterols; lignans; terpenoids; gallic acid; apigenin,Intermediate zone,Least Concern,seeds (after processing),antispasmodic; galactagogue; hepatoprotective; anthelmintic,Sri Lanka Herbal Knowledge Survey Records ,field_survey
SLH-0039,Komarika,Aloe vera,Aloe vera,Asphodelaceae,,burns; skin diseases; constipation,leaves,"Aloe vera (Aloe vera), known in Sinhala as Komarika, is a medicinal plant of the family Asphodelaceae recorded in Sri Lankan traditional medicine. It is traditionally used for burns, skin diseases, constipation. The leaves are the most commonly used part, usually prepared as a capsule. Reported properties include galactagogue, wound-healing activity.",Standardised extract capsule: 250 mg twice daily. ,Use with caution while breastfeeding; May cause allergic skin reaction in sensitive individuals,saponins; terpenoids; catechin; vanillic acid,Dry zone,Near Threatened,fruits,galactagogue; wound-healing; carminative,Sri Lanka Herbal Knowledge Survey Records ,field_survey
